id,platform,content_type,url,creator,creator_avg_views,views,multiplier,hook,topic,format,length,cta,why_it_worked,verified
21,youtube,youtube_long_form,https://www.youtube.com/watch?v=bx_AzBxL_sQ,Dr. Carol Ministries,135,56188,416.21,"Menopausal Wife, Frustrated Husband","""My wife's like a different person, and I'm having a hard time with this. HELP!""",short-video,363,,,true
22,youtube,youtube_long_form,https://www.youtube.com/watch?v=mPQBcb9wf8Q,Jay Shetty Podcast,20890,8672515,415.15,"LOVE EXPERT ON: When A Man TRULY LOVES You, He Will DO THIS! | Stephan Speaks & Jay Shetty",If you like this episode you should also check our latest talk with Stephan Speaks! Watch it here 👉 https://youtu.be/XtzbgvtsApE,talking-head,4056,,,true
23,youtube,youtube_long_form,https://www.youtube.com/watch?v=6nJCF01b510,YearsAndYearsVEVO,136885,56661723,413.94,Olly Alexander (Years & Years) - Desire (Official Video),🧜🏼‍♂️ 🌘 my new album Night Call is OUT NOW 🧜🏼‍♂️ 🌘,short-video,206,,,true
24,youtube,youtube_long_form,https://www.youtube.com/watch?v=GkpN3uiZ-Ew,LYFEJENNINGSVEVO,593003,240073728,404.84,Lyfe Jennings - Must Be Nice,"""Must Be Nice"" Official Video by Lyfe Jennings",short-video,253,,,true
25,youtube,youtube_long_form,https://www.youtube.com/watch?v=GNb4FBawH_U,YearsAndYearsVEVO,136885,51375325,375.32,Olly Alexander (Years & Years) - Desire (Official Video) ft. Tove Lo,Listen to the ‘Odyssey’ collection here: https://ollyalexander.lnk.to/odyssey/,short-video,224,,,true
26,youtube,youtube_long_form,https://www.youtube.com/watch?v=MRJOgR1sPvk,Cityline,2384,880378,369.29,Boost Your Libido Naturally,Natural Health Expert Bryce Wylde has natural remedies for boosting your libido.,short-video,428,,,true
27,youtube,youtube_long_form,https://www.youtube.com/watch?v=sa0RUmGTCYY,TED,24334,8461948,347.74,The secret to desire in a long-term relationship | Esther Perel | TED,"In long-term relationships, we often expect our beloved to be both best friend and erotic partner. But as Esther Perel argues, good and comm",talking-head,1151,,,true
28,youtube,youtube_long_form,https://www.youtube.com/watch?v=5561KI50wD0,Everyday Health,441,149077,338.04,Sex Drive and Menopause,Many women experience a decrease in sexual drive during menopause.  There is a higher risk for urinary tract and vaginal infections. Bone lo,short-video,100,,,true
29,youtube,youtube_long_form,https://www.youtube.com/watch?v=eocCPDxKq1o,PinkVEVO,672712,209625846,311.61,P!nk - Please Don't Leave Me (Official Video),"Official Video for ""Please Don't Leave Me"" by P!NK",short-video,233,,,true
30,youtube,youtube_long_form,https://www.youtube.com/watch?v=Y8i72EzDjmE,"Rena Malik, M.D.",18192,4851516,266.68,Better sex after 65?! What predicts a great sex life in old age?,"Pre-order The Hard Truth + get $494 in FREE bonuses (course, early chapters & live masterclass). https://www.renamalikmd.com/hardtruth  As y",short-video,319,,,true
31,youtube,youtube_long_form,https://www.youtube.com/watch?v=ww2KNIDTe2E,W Radio México,820,210524,256.74,Perimenopausia: el gran secreto hormonal que nadie te cuenta | Tatiana Piña en Martha Debayle en W,"¿Sigues menstruando pero te sientes diferente? ¿Tienes insomnio, bochornos, cambios de humor o bajo libido? Podrías estar en perimenopausia ",talking-head,1318,,,true
32,youtube,youtube_long_form,https://www.youtube.com/watch?v=TelxqQ1iYv0,"Rena Malik, M.D.",18192,4414505,242.66,The Surprising Reasons Why Women Engage in Anal Sex,"Pre-order The Hard Truth + get $494 in FREE bonuses (course, early chapters & live masterclass). https://www.renamalikmd.com/hardtruth  Anal",short-video,288,,,true
33,youtube,youtube_long_form,https://www.youtube.com/watch?v=j1CQTSC7ctU,Jay Shetty,44414,10547720,237.49,THIS HAPPENS In Long Distance Relationships ALL THE TIME | Jay Shetty,Long distance relationships can be really tough. Communication in relationships is already challenging let alone when you add distance. Here,short-video,274,,,true
34,youtube,youtube_long_form,https://www.youtube.com/watch?v=Bs5Xuu03570,myUpchar,9199,2053449,223.23,महिलाओं की सेक्स इच्छा में कमी का इलाज - Low libido treatment in Hindi by Dr. Archana Nirula,Join Our Telegram For Health Updates - https://t.me/myupchar_1,short-video,391,,,true
35,youtube,youtube_long_form,https://www.youtube.com/watch?v=jCZdN_PL0f4,Psych2Go,36341,7605503,209.28,12 Early Signs A Relationship Won't Last,Are you looking for the red flags and signs a relationship isn't working?  A rocky start to a relationship doesn’t necessarily equate to a m,short-video,468,,,true
36,youtube,youtube_long_form,https://www.youtube.com/watch?v=2WzCxk--N4c,Cara's Way,5631,1170425,207.85,the desire to be loved,I thought I loved myself until I realised I didn't know what self-love was. ,short-video,553,,,true
37,youtube,youtube_long_form,https://www.youtube.com/watch?v=ftP15Q83JIc,SHLLOKA ,8894,1640954,184.5,"Bollywood Exposed- Steroid, Fake Beauty, S*x, Party | Simi Chandoke on Body to Beiing | Shlloka","➡️ Simi Chandoke Exposes Bollywood Reality | Glamour, Fame Pressure & Industry Truth | Body To Beiing",talking-head,4578,,,true
38,youtube,youtube_long_form,https://www.youtube.com/watch?v=cO23nH3RSB8,inticure,6657,1207381,181.37,സ്ത്രീകളിൽ എങ്ങനെ ലൈംഗീക താല്പര്യം കൂട്ടാം? | Dr.Anita Mani | Ask a Sexual Expert: Part 3 | inticure,ഞങ്ങളുടെ world-class doctors and highly experienced and certified sexual specialists ആയിട്ട് Online Consult ചെയ്യാൻ ➡️  Whatsapp +9197783852,talking-head,733,,,true
39,youtube,youtube_long_form,https://www.youtube.com/watch?v=FjzEPShHca8,Queen ShortDrama,2657,477628,179.76,"2 Yrs Of Sexless Marriage,She Was Heartbroken,Disappeared—He Regretted Too Late To Win Her Back",Viewing is strictly prohibited for those under 18 years of age. 【Creative Statement / Artistic & Safety Disclosure】,talking-head,4921,,,true
40,youtube,youtube_long_form,https://www.youtube.com/watch?v=D0FdyMmo6sI,Natural Health Resources,2915,483349,165.81,Natural Ways to Boost Female Libido in 8 EASY Ways,If you are a female and want to boost your libido naturally - this is a MUST WATCH VIDEO!  Boosting female libido and female sex drive is cr,talking-head,898,,,true
41,youtube,youtube_long_form,https://www.youtube.com/watch?v=Oc-zmHiPE74,Psychology with Dr. Ana,11039,1785043,161.7,"If you're considering leaving your partner, ask yourself this","In this video, I discuss a technique I've been thinking about that can help people assess whether or not to end a relationship.",talking-head,769,,,true
42,youtube,youtube_long_form,https://www.youtube.com/watch?v=XpFD-kgQxnI,timhawkinscomedy,99471,15924086,160.09,Tim Hawkins - Things You Don't Say To Your Wife,"Tim sings about learning some things the hard way, from his ""Full Range of Motion"" special. Watch it now: https://timhawkins.vhx.tv",short-video,131,,,true
43,youtube,youtube_long_form,https://www.youtube.com/watch?v=W9zAs9A-H04,Dr. Devika Bhatnagar,9286,1424970,153.45,5 Golden Life Principles After Crossing 40  Years - Go For Healthy Lifestyle,"Dear Friends,",talking-head,715,,,true
44,youtube,youtube_long_form,https://www.youtube.com/watch?v=uKgB41pMf-s,Jay Shetty Podcast,20890,3195457,152.97,"WORLD'S #1 COUPLES THERAPIST: ""If Your Partner Says THIS, the Relationship Is in TROUBLE!""",Do you ever feel like you're having the same fight over and over again?,talking-head,6119,,,true
45,youtube,youtube_long_form,https://www.youtube.com/watch?v=uEZpg0n7jcY,Peter Attia MD,19543,2446710,125.2,"Menstruation, Menopause, and Hormone Replacement Therapy for Women",Sign up to receive Peter's email newsletter: https://bit.ly/4c602k2,talking-head,1351,,,true
46,youtube,youtube_long_form,https://www.youtube.com/watch?v=nNkIvJo7bdQ,Dr Vijayant Govinda Gupta,24756,2955692,119.39,Female Tonic - सेक्स इच्छा बढ़ाने की दवाई,"Female Sex Enhancer Tonic -  wife ki Sex iccha badhane ki dawai, how to increase libido in women.",short-video,522,,,true
47,youtube,youtube_long_form,https://www.youtube.com/watch?v=W0ake2jiAcU,PsycheDepth,6222,711727,114.39,Why Women Over 40 Go Crazy (and Break Families Apart),"Why do so many women completely change when they hit 40? One day she’s a loyal wife and mother, and the next she’s chasing validation, downl",talking-head,1471,,,true
48,youtube,youtube_long_form,https://www.youtube.com/watch?v=cUcHdAndmBc,Mid-Atlantic Permanente Medicine,285,31342,109.97,Low Libido: Solutions for Women | Kaiser Permanente | Healthier You Podcast,"On this episode of the Healthier You Podcast, Dr. Ashlee Williams speaks with Dr. Carolyn Gorman, an OB-GYN and sexual health specialist at ",short-video,459,,,true
49,youtube,youtube_long_form,https://www.youtube.com/watch?v=D_XV0RcRq-k,Jessica Valant,5692,606823,106.61,Sex After Hysterectomy - My Story and Tips about Hysterectomy and Sexuality,⭐️ Jessica Valant is a physical therapist and Pilates instructor who had a hysterectomy and multiple prolapse repairs at the age of 41. In t,short-video,596,,,true
50,youtube,youtube_long_form,https://www.youtube.com/watch?v=JJZ8z_nTCZQ,TED,24334,2216709,91.1,How menopause affects the brain | Lisa Mosconi,"Visit http://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.",talking-head,785,,,true
51,youtube,youtube_long_form,https://www.youtube.com/watch?v=e9EgUvfgojY,The School of Life,55347,4563726,82.46,Why Avoidant and Anxious Partners Find It Hard to Split Up,Fractious couples are often made up of one party who is 'avoidant' (hiding their intimacy needs) and one who is 'anxious' (nagging and press,short-video,278,,,true
52,youtube,youtube_long_form,https://www.youtube.com/watch?v=gpn6vfcoTsE,hanan beauty,8718,675348,77.47,Remedio natural para aumentar la libido femenina.,"Hola, gracias por ver el video 💚",talking-head,779,,,true
53,youtube,youtube_long_form,https://www.youtube.com/watch?v=EtphOKEOHaI,Kati Morton,9436,609119,64.55,Lost the Ability to Feel Happy? Here's Why,"In short, anhedonia is the inability to experience pleasure during activities that you used to enjoy. Meaning that if you used to LOVE snowb",talking-head,603,,,true
54,youtube,youtube_long_form,https://www.youtube.com/watch?v=kYEMlNDtWOw,Bobby Rio,7619,484457,63.59,5 Secrets to Make Your Wife Desire and Respect You Again (Proven Tips for Husbands),🔥 Click here to join my FREE 7-Day Rebuild the Spark Challenge for Married Men:  https://bobbyriotraining.com/reset/,talking-head,1303,,,true
55,youtube,youtube_long_form,https://www.youtube.com/watch?v=Uunwuezozw4,Marriage Helper,2516,157475,62.59,Rejected By My Spouse - Can A Marriage Last Like This? If You Feel Rejected... LISTEN UP!,"If feeling emotionally or sexually rejected has stolen your joy and made you feel like less of a person, then you're not crazy and you're no",short-video,524,,,true
56,youtube,youtube_long_form,https://www.youtube.com/watch?v=xdkD9P5LLYs,The Real Daytime,14185,867350,61.15,PART ONE: A Sexless Marriage,"Real fam, do you think a marriage can survive if you have sex fewer than 10 times a year?",short-video,305,,,true
57,youtube,youtube_long_form,https://www.youtube.com/watch?v=cpkJjoalCRw,Dr Neha Mehta Lifestyle,24476,1477730,60.37,Female Viagra खाने से क्या होता है? Dr. Neha Mehta,"Welcome to Dr Neha Mehta Lifestyle, your trusted destination for guidance on sexual health, relationship counseling, and marriage advice. Ga",short-video,185,,,true
58,youtube,youtube_long_form,https://www.youtube.com/watch?v=BJGWgmGIJWs,The Happy Wife School,11069,635563,57.42,WITHHOLDING: The Top 5 Ways Women DENY A Man's Needs,"Withholding is the malicious, conscious denial of another's needs. Withholding in my marriage was one of the most wicked and vicious behavio",short-video,547,,,true
59,youtube,youtube_long_form,https://www.youtube.com/watch?v=CRLQxfCUGgY,Seeker,33946,1934226,56.98,Can Science Boost A Woman's Low Sex Drive?,"As women age, their sex drive can decrease significantly. How can we solve this?",short-video,193,,,true
60,youtube,youtube_long_form,https://www.youtube.com/watch?v=zYCWvbtAE1Q,GunjanShouts,43758,2365986,54.07,ULTIMATE GUIDE TO MEN'S SEXUAL HEALTH & PERFORMANCE - A Must Watch | Dr. Sankalp with GunjanShouts,"In this bold and eye-opening podcast of Gunjan Talks, we sit down with Dr. Sankalp Jain. One of India’s leading sexologists and IVF experts,",talking-head,7958,,,true
61,youtube,youtube_long_form,https://www.youtube.com/watch?v=FiqKevZvCEI,SBS Insight,8790,463090,52.68,"Before my divorce I’d only slept with one man, now I know what I was missing | SBS Insight",Insight hosts a frank and honest discussion with those who are bucking social norms and experiencing a midlife reawakening of their sexualit,talking-head,3062,,,true
62,youtube,youtube_long_form,https://www.youtube.com/watch?v=Xcho9rpI2cM,"Rena Malik, M.D.",18192,819371,45.04,"Does ashwaganda really help sex drive, libido and erections?! A urologist breaks it down","Pre-order The Hard Truth + get $494 in FREE bonuses (course, early chapters & live masterclass). https://www.renamalikmd.com/hardtruth  If y",talking-head,619,,,true
63,youtube,youtube_long_form,https://www.youtube.com/watch?v=hTge_rFDSFk,Raj Shamani Clips,16446,686157,41.72,Why Women Don't Get Orgasms Like Men During Sex? - Dr Prateek | Raj Shamani Clips,🎞️ This Is A Clip From Figuring Out Episode 186,short-video,168,,,true
64,youtube,youtube_long_form,https://www.youtube.com/watch?v=SI0yTlU90_A,Verinteresting,50559,2061447,40.77,S*xless Bollywood marriages with Page 3 journalist Simi Chandoke | Verinteresting Podcast Ep. 3,In this Podcast senior entertainment journalist Simi Chandoke exposes with hidden reality of Bollywood marriages. From gay encounters to les,talking-head,2759,,,true
65,youtube,youtube_long_form,https://www.youtube.com/watch?v=N7yKBlsK09M,The Real Daytime,14185,535884,37.78,PART TWO: A Sexless Marriage,"Real fam, do you think a marriage can survive if you have sex fewer than 10 times a year?",short-video,553,,,true
66,youtube,youtube_long_form,https://www.youtube.com/watch?v=OjrJT8qfGH8,Dr. K. Shilpi Reddy,16673,624800,37.47,Changes in women body after sex | తెలుగులో | Best Gynaecologist in Hyderabad Dr k Shilpi Reddy,Subscribe to our YouTube channel : https://www.youtube.com/channel/UC4Jq...,short-video,347,,,true
67,youtube,youtube_long_form,https://www.youtube.com/watch?v=a1H2tumw9HY,SmileTurn Drama,29783,1047851,35.18,無性婚姻四年，他為和她離婚娶白月光，竟提出補償她一晚！愛意散盡她轉身離開嫁給總裁竹馬，可他卻突然發現她珍藏多年愛意的日記本，徹底後悔猛追妻,#短劇#電視劇#女頻#大女主#drama#戲劇#復仇#爽劇#豪門#反轉#矛盾#吵架#狗血#打臉#離婚#恩怨#婆媳#勵志#窮小子#灰姑娘#女總裁#善良#追妻火葬場#白月光#初戀#扮豬吃老虎#隱姓埋名#掉馬甲#甜寵#虐戀#社會#新聞#逆襲#正能量#中老年#破鏡重圓#青梅竹馬#失憶#霸,talking-head,6735,,,true
68,youtube,youtube_long_form,https://www.youtube.com/watch?v=dJkc5bRySJM,It's God's Plan,14696,511856,34.83,The reason you're in a sexless marriage,Sex is necessary in marriage. So why are some in a sexless marriage? ,short-video,270,,,true
69,youtube,youtube_long_form,https://www.youtube.com/watch?v=J03NFx0Nji8,"Rena Malik, M.D.",18192,572213,31.45,Why you're just not that into it? | Causes of Low Sex Drive in Women | Low Libido,"Pre-order The Hard Truth + get $494 in FREE bonuses (course, early chapters & live masterclass). https://www.renamalikmd.com/hardtruth  Many",talking-head,624,,,true
70,youtube,youtube_long_form,https://www.youtube.com/watch?v=dXD4j8RyG4U,The Dr. John Delony Show,41679,1232417,29.57,My Husband’s Not Sexually Attracted to Me,My Husband’s Not Sexually Attracted to Me,talking-head,1208,,,true
71,youtube,youtube_long_form,https://www.youtube.com/watch?v=LMGYUgt-otA,The Dr. John Delony Show,41679,1186772,28.47,Not Attracted to My Wife After Her Weight Gain (What Can I Do?),Not Attracted to My Wife After Her Weight Gain (What Can I Do?),talking-head,890,,,true
72,youtube,youtube_long_form,https://www.youtube.com/watch?v=IL1O8HRaQ1o,"LaurenConsul, LMFT, CST, JD",689,19153,27.8,How to Deal With Desire Discrepancy: 8 Tips for Couples | Sex Therapist Explains,"If you’ve ever felt like you and your partner aren’t quite on the same page when it comes to intimacy, you’re not alone. Desire discrepancy—",short-video,557,,,true
73,youtube,youtube_long_form,https://www.youtube.com/watch?v=0F1HRoc0_t4,"Heather Hirsch MD, MS, MSCP",2891,79050,27.34,Three tips to naturally boost your libido in menopause,Three tips to naturally boost your libido in menopause // Many women after menopause notice a big dip in libido. When that low libido is bot,short-video,545,,,true
74,youtube,youtube_long_form,https://www.youtube.com/watch?v=H1TJ92Pa5Ew,Dr. Arsalan Aspires,5126,134856,26.31,"Maca Root Does This To Your | Taking Maca for Fertility, Libido, Menopause, ED","Maca Root for Fertility, Libido, ED, Hormones. Is Maca Root Good for Men, Women, PCOS? How Much Maca Per Day? What is the Best Maca Root?",short-video,460,,,true
75,youtube,youtube_long_form,https://www.youtube.com/watch?v=00s2jpgU6ic,Sisyphus 55,22385,583892,26.08,the desire to be loved,"To try everything Brilliant has to offer—free—for a full 30 days, visit https://brilliant.org/Sisyphus55/ . You’ll also get 20% off an annua",short-video,421,,,true
76,youtube,youtube_long_form,https://www.youtube.com/watch?v=ZFKDkGzumiQ,Laura How,18662,484073,25.94,10 Devastating Effects Of A Sexless Marriage On Men,"A man’s need for sexual connection with his wife is as valid as her need to feel seen, appreciated and valued.  Just swap the word ‘sex’ for",talking-head,945,,,true
77,youtube,youtube_long_form,https://www.youtube.com/watch?v=1L1LDKBAOZ0,Dr Neha Mehta,53603,1389629,25.92,50 के बाद कैसे रखे जवानी बरकरार || Dr. Neha Mehta,Buy my E-Books- https://ebook.drnehamehta.com/,short-video,287,,,true
78,youtube,youtube_long_form,https://www.youtube.com/watch?v=F93QsUnZUwM,"Rena Malik, M.D.",18192,466429,25.64,Boost your libido with these tips! | Low sex Drive in Women,"Pre-order The Hard Truth + get $494 in FREE bonuses (course, early chapters & live masterclass). https://www.renamalikmd.com/hardtruth  Low ",short-video,434,,,true
79,youtube,youtube_long_form,https://www.youtube.com/watch?v=rh-puJiyR90,Dandelion Medical Animation,75842,1941444,25.6,Personal Hygiene and libido-cleanliness has a significant impact on partners' sexual desire,Good personal hygiene is about keeping your body clean   ,short-video,333,,,true
80,youtube,youtube_long_form,https://www.youtube.com/watch?v=XkoB7AOw7h0,"Rena Malik, M.D.",18192,461357,25.36,Frustrated with your sexless marriage? A Urologist explains what to do about it,"Pre-order The Hard Truth + get $494 in FREE bonuses (course, early chapters & live masterclass). https://www.renamalikmd.com/hardtruth  Is S",short-video,568,,,true
81,youtube,youtube_long_form,https://www.youtube.com/watch?v=qERHEmaMvVQ,Psych2Go,36341,919109,25.29,7 Signs You Are Falling Out Of Love,"Every time we fall in love, a part of us is always hoping that we’ve finally met the one we’re going to spend the rest of our lives with. Th",short-video,314,,,true
82,youtube,youtube_long_form,https://www.youtube.com/watch?v=lecihw0QW_c,Dr. Josh Axe,9696,244444,25.21,How to Manage Menopause Symptoms & Balance Hormones Naturally,"By 2030, over 1.2 billion women will be in menopause, yet most were never taught what to expect. In this episode, Dr. Josh Axe shares how to",talking-head,2913,,,true
83,youtube,youtube_long_form,https://www.youtube.com/watch?v=D58NZXJ3UeE,"Rena Malik, M.D.",18192,378157,20.79,You Won't Believe the Hidden Benefits of PT-141 for Sexual Desire,"Pre-order The Hard Truth + get $494 in FREE bonuses (course, early chapters & live masterclass). https://www.renamalikmd.com/hardtruth  Have",short-video,373,,,true
84,youtube,youtube_long_form,https://www.youtube.com/watch?v=SFaPw7ZzT4I,Margarita Nazarenko,31350,615792,19.64,Make him OBSESSED with you in 5 STEPS! #feminineenergy #relationship #obsessed #partner,,short-video,141,,,true
85,youtube,youtube_long_form,https://www.youtube.com/watch?v=q7szdowR28Y,"Sincerely, Nelly Martin",16120,310564,19.27,Letting Go & Trusting God When It HURTS: Your Desire vs. God’s Will,What do you do when God asks us to let go of someTHING or someONE but we still have feelings for them or desire it? There is a way to shift ,talking-head,1021,,,true
86,youtube,youtube_long_form,https://www.youtube.com/watch?v=12QOj29jRMk,"Heather Hirsch MD, MS, MSCP",2891,54000,18.68,What Does A Low Testosterone Level Mean In Menopause?,What Does A Low Testosterone Level Mean In Menopause // Many women are surprised or worried about what their low testosterone levels mean at,short-video,518,,,true
87,youtube,youtube_long_form,https://www.youtube.com/watch?v=zqf9pmZy-EA,Dr. Imran Khan,472977,8811621,18.63,5 Food Items For Good Sex Power | Sex Drive Foods | Dr. Imran Khan ( HINDI ),5 Food Items For Good Sex Power | Sex Drive Foods | Dr. Imran Khan ( HINDI ),short-video,386,,,true
88,youtube,youtube_long_form,https://www.youtube.com/watch?v=ElHX5AzHPGA,Lazy Owl,95844,1692652,17.66,The Desire To Leave Everything Behind and Disappear,"Summer is here and you know what that means...time to pack your bags and hit the road! But wait, have you ever thought of traveling alone? Y",short-video,331,,,true
89,youtube,youtube_long_form,https://www.youtube.com/watch?v=F54qXuTpgfM,Andrew Huberman,120527,2056247,17.06,Improving Sexual & Urological Health in Males and Females | Dr. Rena Malik,"In this episode, my guest is Dr. Rena Malik, M.D., a board-certified urologist and pelvic surgeon, expert in male and female pelvic medicine",talking-head,10470,,,true
90,youtube,youtube_long_form,https://www.youtube.com/watch?v=4QnhHjeDbX8,Psych2Go,36341,606209,16.68,The Truth About Female Sexual Desire,"When you think of sexuality and sexual desire, we often default to the male perspective. Many people assume it's the same for females, but y",short-video,258,,,true
91,youtube,youtube_long_form,https://www.youtube.com/watch?v=W0XW6av2wLQ,Peter Attia MD,19543,315913,16.17,"348 ‒ Women’s sexual health, menopause, and hormone replacement therapy (HRT)",Rachel Rubin is a board-certified urologist & one of the nation's foremost experts in sexual health. She shares her deep expertise on the to,talking-head,8678,,,true
92,youtube,youtube_long_form,https://www.youtube.com/watch?v=v94S8YFtnEc,Dhar Mann Studios,2004013,30100895,15.02,"Husband's Sister Refuses To Move Out Or Get Job, Wife Reacts Shockingly | Dhar Mann",⚑ MOBILE APP ⚑,short-video,501,,,true
